,original_filename,telescope,ifilter,caldat,obs_type,proc_type,instrument,prod_type,proposal,release_date,md5sum,archive_filename,dec_min,dec_max,ra_max,ra_min,OBJECT,SEQID,AIRMASS,DATE-OBS,EXPTIME,url
0,/home/data/n4305565.fits,kp4m,KXs,2015-03-06,object,raw,newfirm,image,2015A-0048,2016-08-27,79760376643cf34711f7c50771e43f0c,/net/archive/mtn/20150306/kp4m/2015A-0048/k4n_150307_113502_ori.fits.fz,24.98322222222222,24.98322222222222,186.6762083333333,186.6762083333333,KRouleaux,nfkp4m_2015A0048_8782,1.231,2015-03-07T11:34:39.8,10.0,https://astroarchive.noirlab.edu/api/retrieve/79760376643cf34711f7c50771e43f0c/
5,/home/data/n4304947.fits,kp4m,Dark,2015-03-06,dark,raw,newfirm,image,2015A-0048,2015-03-06,62666d1372e60c109373bb2786bfd798,/net/archive/mtn/20150306/kp4m/2015A-0048/k4n_150306_231424_dri.fits.fz,30.861805555555556,30.861805555555556,41.009125,41.009125,test dark sequence,nfkp4m_2015A0048_8735,1.0,2015-03-06T23:13:59.6,10.0,https://astroarchive.noirlab.edu/api/retrieve/62666d1372e60c109373bb2786bfd798/
5,/home/data/n4304947.fits,kp4m,Dark,2015-03-06,dark,raw,newfirm,image,2015A-0048,2015-03-06,62666d1372e60c109373bb2786bfd798,/net/archive/mtn/20150306/kp4m/2015A-0048/k4n_150306_231424_dri.fits.fz,30.861805555555556,30.861805555555556,41.009125,41.009125,test dark sequence,nfkp4m_2015A0048_8735,1.0,2015-03-06T23:13:59.6,10.0,https://astroarchive.noirlab.edu/api/retrieve/62666d1372e60c109373bb2786bfd798/
5,/home/data/n4304947.fits,kp4m,Dark,2015-03-06,dark,raw,newfirm,image,2015A-0048,2015-03-06,62666d1372e60c109373bb2786bfd798,/net/archive/mtn/20150306/kp4m/2015A-0048/k4n_150306_231424_dri.fits.fz,30.861805555555556,30.861805555555556,41.009125,41.009125,test dark sequence,nfkp4m_2015A0048_8735,1.0,2015-03-06T23:13:59.6,10.0,https://astroarchive.noirlab.edu/api/retrieve/62666d1372e60c109373bb2786bfd798/
5,/home/data/n4304947.fits,kp4m,Dark,2015-03-06,dark,raw,newfirm,image,2015A-0048,2015-03-06,62666d1372e60c109373bb2786bfd798,/net/archive/mtn/20150306/kp4m/2015A-0048/k4n_150306_231424_dri.fits.fz,30.861805555555556,30.861805555555556,41.009125,41.009125,test dark sequence,nfkp4m_2015A0048_8735,1.0,2015-03-06T23:13:59.6,10.0,https://astroarchive.noirlab.edu/api/retrieve/62666d1372e60c109373bb2786bfd798/
5,/home/data/n4304947.fits,kp4m,Dark,2015-03-06,dark,raw,newfirm,image,2015A-0048,2015-03-06,62666d1372e60c109373bb2786bfd798,/net/archive/mtn/20150306/kp4m/2015A-0048/k4n_150306_231424_dri.fits.fz,30.861805555555556,30.861805555555556,41.009125,41.009125,test dark sequence,nfkp4m_2015A0048_8735,1.0,2015-03-06T23:13:59.6,10.0,https://astroarchive.noirlab.edu/api/retrieve/62666d1372e60c109373bb2786bfd798/
12,/home/data/n4304985.fits,kp4m,KXs,2015-03-06,flat,raw,newfirm,image,2015A-0048,2015-03-06,a68eeb58487066b2d3bfd7a85e375398,/net/archive/mtn/20150306/kp4m/2015A-0048/k4n_150306_232815_fri.fits.fz,30.861805555555556,30.861805555555556,44.40745833333333,44.40745833333333,Dome flats JHK,nfkp4m_2015A0048_8736,1.0,2015-03-06T23:27:42.1,2.0,https://astroarchive.noirlab.edu/api/retrieve/a68eeb58487066b2d3bfd7a85e375398/
18,/home/data/n4304970.fits,kp4m,KXs,2015-03-06,flat,raw,newfirm,image,2015A-0048,2015-03-06,3bbb2f0ef32640b8adf37218fdbd4c91,/net/archive/mtn/20150306/kp4m/2015A-0048/k4n_150306_232443_fri.fits.fz,30.861805555555556,30.861805555555556,43.605791666666654,43.605791666666654,Dome flats JHK,nfkp4m_2015A0048_8736,1.0,2015-03-06T23:24:29.4,2.0,https://astroarchive.noirlab.edu/api/retrieve/3bbb2f0ef32640b8adf37218fdbd4c91/
18,/home/data/n4304970.fits,kp4m,KXs,2015-03-06,flat,raw,newfirm,image,2015A-0048,2015-03-06,3bbb2f0ef32640b8adf37218fdbd4c91,/net/archive/mtn/20150306/kp4m/2015A-0048/k4n_150306_232443_fri.fits.fz,30.861805555555556,30.861805555555556,43.605791666666654,43.605791666666654,Dome flats JHK,nfkp4m_2015A0048_8736,1.0,2015-03-06T23:24:29.4,2.0,https://astroarchive.noirlab.edu/api/retrieve/3bbb2f0ef32640b8adf37218fdbd4c91/
18,/home/data/n4304970.fits,kp4m,KXs,2015-03-06,flat,raw,newfirm,image,2015A-0048,2015-03-06,3bbb2f0ef32640b8adf37218fdbd4c91,/net/archive/mtn/20150306/kp4m/2015A-0048/k4n_150306_232443_fri.fits.fz,30.861805555555556,30.861805555555556,43.605791666666654,43.605791666666654,Dome flats JHK,nfkp4m_2015A0048_8736,1.0,2015-03-06T23:24:29.4,2.0,https://astroarchive.noirlab.edu/api/retrieve/3bbb2f0ef32640b8adf37218fdbd4c91/
17,/home/data/n4304982.fits,kp4m,KXs,2015-03-06,flat,raw,newfirm,image,2015A-0048,2015-03-06,028ef09e32c66cdc4f1e690a46993557,/net/archive/mtn/20150306/kp4m/2015A-0048/k4n_150306_232742_fri.fits.fz,30.861805555555556,30.861805555555556,44.31554166666666,44.31554166666666,Dome flats JHK,nfkp4m_2015A0048_8736,1.0,2015-03-06T23:27:19.8,2.0,https://astroarchive.noirlab.edu/api/retrieve/028ef09e32c66cdc4f1e690a46993557/
26,/home/data/n4305565.fits,kp4m,KXs,2015-03-06,object,instcal,newfirm,dqmask,2015A-0048,2016-08-27,c6e4c3362e24b3bf3bcf8ebe2da272ca,/net/archive/pipeline/Q20150416/K4N15A/20150304/k4n_150307_113502_ood_KXs_v1.fits.fz,24.971027777777778,24.971027777777778,186.72483333333332,186.72483333333332,Mask for K4N15A_20150304_883a64f-0133Ks-kp2117490_press,K4N15A_20150304_0133,1.231,2015-03-07T11:34:39.8,10.0,https://astroarchive.noirlab.edu/api/retrieve/c6e4c3362e24b3bf3bcf8ebe2da272ca/
